date,products_captured,products_discounted,pct_assortment_discounted,average_discount_pct,median_discount_pct,discounted_30pct_plus,discounted_50pct_plus
2026-08-26,1907,1866,97.9,29.0,20.0,760,404
2026-08-27,1863,1822,97.8,28.6,20.0,695,407
2026-08-28,1888,1826,96.7,28.3,20.0,703,393
2026-08-29,1925,1870,97.1,32.0,20.0,886,530
2026-08-30,1903,1824,95.8,29.6,25.0,826,340
2026-08-31,1899,1791,94.3,30.1,20.0,758,434
2026-09-01,1905,1766,92.7,30.1,20.0,736,438
2026-09-02,1922,1845,96.0,29.1,20.0,609,434
2026-09-03,1896,1814,95.7,31.0,25.0,665,487
2026-09-04,1908,1752,91.8,29.1,20.0,580,389
