date,asos,boohoo,plt,boohooman,karen_millen,next,zara,hm,river_island,new_look,mango,marks_spencer
2026-08-27,100.0,22.6,1.0,4.8,5.2,671.4,123.6,54.2,34.0,48.4,61.8,7.6
2026-08-28,100.0,23.1,1.6,4.9,5.4,686.5,126.0,55.5,35.0,49.2,63.0,7.7
2026-08-29,100.0,22.9,0.8,4.8,5.6,681.6,126.4,55.7,33.8,49.7,63.5,7.7
2026-08-30,100.0,23.1,1.0,5.0,5.5,711.5,131.0,58.0,36.5,50.3,64.5,7.7
2026-08-31,100.0,23.6,1.4,5.2,5.8,856.4,166.7,62.8,37.2,50.9,65.9,7.7
2026-09-02,100.0,24.5,1.8,5.2,5.9,912.5,188.8,71.2,36.3,53.2,68.1,7.8
2026-09-03,100.0,24.7,1.8,5.4,6.0,880.2,140.7,66.3,33.7,54.2,69.0,7.9
2026-09-05,100.0,26.0,1.8,5.5,6.4,808.6,147.1,66.7,39.1,56.1,72.1,8.3
2026-09-06,100.0,26.5,2.2,5.8,6.6,832.3,153.9,68.9,40.1,57.4,73.9,8.2
2026-09-07,100.0,26.8,2.3,5.6,6.7,849.1,158.2,70.3,40.0,58.3,75.1,8.3
2026-09-08,100.0,26.6,2.2,5.6,6.5,831.4,156.2,69.8,39.6,57.5,73.9,8.2
2026-09-09,100.0,27.1,2.5,5.7,6.4,843.0,158.8,70.9,40.0,58.6,75.7,8.4
2026-09-10,100.0,28.0,2.3,5.7,6.8,885.1,165.2,71.4,42.9,59.2,76.0,8.2
2026-09-11,100.0,28.6,2.6,6.4,7.0,860.6,167.3,72.1,42.4,60.6,77.6,8.5
